token,revenue_annual_usd,fdv_usd,incentives_annual_usd,subsidy_ratio,active_addresses_30d,treasury_usd,source,notes
COMP,,173703440.0,,,,,CoinGecko-FDV,DefiLlama fallback
MKR,,156338218.0,,,,,CoinGecko-FDV,DefiLlama fallback
AAVE,,1550831621.0,,,,,CoinGecko-FDV,DefiLlama fallback
UNI,,3126745863.0,,,,,CoinGecko-FDV,DefiLlama fallback
CRV,,512296229.0,,,,,CoinGecko-FDV,DefiLlama fallback
RPL,,,,,,,manual,DefiLlama fallback
JUP,,,,,,,manual,DefiLlama fallback
MPL_SYRUP,,,,,,,manual,DefiLlama fallback
GMX,,,,,,,manual,DefiLlama fallback
DRIFT,,,,,,,manual,DefiLlama fallback
ETHFI,,,,,,,manual,DefiLlama fallback
GRT,,,,,,,manual,DefiLlama fallback
OP,,,,,,,manual,DefiLlama fallback
POL,,,,,,,manual,DefiLlama fallback
ARB,,,,,,,manual,DefiLlama fallback
ENS,,,,,,,manual,DefiLlama fallback
DIMO,,,,,,,manual,DefiLlama fallback
IOTX,,,,,,,manual,DefiLlama fallback
WXM,,,,,,,manual,DefiLlama fallback
ANYONE,,,,,,,no_source,No automated source; manual entry required
GRASS,,,,,,,no_source,No automated source; manual entry required
LPT,,,,,,,manual,DefiLlama fallback
HNT,,,,,,,manual,DefiLlama fallback
GEOD,,,,,,,no_source,No automated source; manual entry required
FIL,,,,,,,manual,DefiLlama fallback
RENDER,,,,,,,manual,DefiLlama fallback
POKT,,,,,,,manual,DefiLlama fallback
GTC,,,,,,,manual,DefiLlama fallback
TEC,0.0,,0.0,,,,manual,Protocol wound down; zero revenue by design
