protocol,dd_treasury_usd,treasury_source,category
Compound,6693806,defillama_api,DeFi
MakerDAO,280011916,defillama_api,DeFi
Aave,155544120,defillama_api,DeFi
Uniswap,1038873281,defillama_api,DeFi
Maple Finance,9309078,defillama_api,DeFi
Rocket Pool,56298,defillama_api,DeFi
ENS,357517371,defillama_api,L1_L2_Infra
Curve,96000000,estimated_public_sources,DeFi
Jupiter,300000000,estimated_public_sources,DeFi
GMX,44000000,estimated_public_sources,DeFi
Drift,45000000,estimated_public_sources,DeFi
Ether.Fi,35000000,estimated_public_sources,DeFi
MetaDAO,1200000,estimated_public_sources,DeFi
Lido,450000000,estimated_public_sources,DeFi
The Graph,15000000,estimated_public_sources,L1_L2_Infra
Optimism,600000000,estimated_public_sources,L1_L2_Infra
Polygon,255000000,estimated_public_sources,L1_L2_Infra
Arbitrum,2600000000,estimated_public_sources,L1_L2_Infra
LayerZero,42000000,estimated_public_sources,L1_L2_Infra
Wormhole,35000000,estimated_public_sources,L1_L2_Infra
Axelar,18000000,estimated_public_sources,L1_L2_Infra
Gitcoin,9000000,estimated_public_sources,Social_Dead
Token Engineering Commons,800000,estimated_public_sources,Social_Dead
Render,,NaN_no_aggregator_coverage,DePIN
DIMO,,NaN_no_aggregator_coverage,DePIN
IoTeX,,NaN_no_aggregator_coverage,DePIN
WeatherXM,,NaN_no_aggregator_coverage,DePIN
Anyone Protocol,,NaN_no_aggregator_coverage,DePIN
Grass,,NaN_no_aggregator_coverage,DePIN
Livepeer,,NaN_no_aggregator_coverage,DePIN
Helium,,NaN_no_aggregator_coverage,DePIN
GEODNET,,NaN_no_aggregator_coverage,DePIN
Filecoin,,NaN_no_aggregator_coverage,DePIN
Pokt Network,,NaN_no_aggregator_coverage,DePIN
Morpheus AI,,NaN_no_aggregator_coverage,DePIN
