symbol,category,holding_hhi,holding_gini,holding_top1_pct,holding_top10_pct,voting_hhi,voting_gini,voting_top1_pct,voting_top10_pct,hhi_gap,hhi_ratio,governance_source,n_voters_sampled
UNI,DeFi,0.100843,0.8869,29.1,52.12,0.06774,0.8649,11.96,72.66,-0.0331,0.67,snapshot,983.0
COMP,DeFi,0.027491,0.8634,14.06,32.36,0.053111,0.7771,15.75,55.91,0.0256,1.93,snapshot,114.0
MKR,DeFi,0.045041,0.8982,11.37,56.16,,,,,,,none,
AAVE,DeFi,0.059344,0.8803,21.67,47.65,0.075545,0.7238,21.91,65.44,0.0162,1.27,tally,100.0
CRV,DeFi,0.170599,0.8943,40.53,60.66,,,,,,,none,
GRT,L1_L2_Infra,0.099984,0.917,28.61,59.66,,,,,,,none,
LDO,DeFi,0.018498,0.5186,9.89,27.71,0.087999,0.8837,17.86,79.91,0.0695,4.76,snapshot,262.0
IOTX,DePIN,0.106455,0.987,19.75,90.57,,,,,,,none,
DIMO,DePIN,0.037903,0.8709,13.94,45.0,0.227999,0.5945,29.5,100.0,0.1901,6.02,snapshot,10.0
WXM,DePIN,0.147854,0.8946,34.98,77.92,0.486129,0.9028,69.15,89.72,0.3383,3.29,snapshot,172.0
ANYONE,DePIN,0.04036,0.7942,13.29,47.51,,,,,,,none,
GRASS,DePIN,0.035201,0.9663,27.76,85.21,,,,,,,none,
RNDR,DePIN,0.032305,0.8944,10.41,47.01,,,,,,,none,
OP,L1_L2_Infra,0.12066,0.8904,31.82,60.76,0.03297,0.5962,10.03,45.29,-0.0877,0.27,tally,100.0
ZRO,L1_L2_Infra,0.009561,0.446,4.73,35.44,,,,,,,none,
W,L1_L2_Infra,0.014927,0.8799,23.35,82.85,,,,,,,none,
AXL,L1_L2_Infra,0.003761,0.6346,10.45,50.62,,,,,,,none,
META,DeFi,0.048249,0.7657,65.23,100.0,,,,,,,none,
ARB,L1_L2_Infra,0.097016,0.8289,30.17,47.19,0.052274,0.8068,11.47,63.36,-0.0447,0.54,snapshot,5241.0
MOR,DePIN,0.013252,0.6677,14.57,58.34,,,,,,,none,
