token,tt_project_id,revenue_annual_usd,fees_annual_usd,incentives_annual_usd,subsidy_ratio,treasury_usd,fdv_usd,source,notes
AAVE,aave,72389904.0,550592592.0,8099992.0,0.1006,155544120.0,,token_terminal,
ANYONE,,,,,,,,fallback_needed,No Token Terminal coverage
ARB,arbitrum,7865260.0,5173632.0,,0.0,,,token_terminal,
AXL,,0.0,33312.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
COMP,compound,642403.0,17101392.0,1225567.0,0.6561,6693806.0,,token_terminal,
CRV,curve-finance,,48582084.0,,,,,fallback_needed,
DIMO,dimo,,,,,,,fallback_needed,
DRIFT,drift,,7759944.0,,,,,fallback_needed,
ENS,ethereum-name-service,,1623516.0,,,357517371.0,,token_terminal,
ETHFI,ether-fi,,,,,,,fallback_needed,
FIL,filecoin,3272783.0,,19712256.0,0.8576,,,token_terminal,
GEOD,,,9194616.0,,,,,fallback_needed,No Token Terminal coverage
GMX,gmx,24135479.0,40919808.0,53912.0,0.0022,,,token_terminal,
GRASS,,,,,,,,fallback_needed,No Token Terminal coverage
GRT,the-graph,102975.0,,,0.0,,,token_terminal,
GTC,gitcoin,,,,,,,fallback_needed,
HNT,helium,16578087.0,,,0.0,,,token_terminal,
IOTX,iotex,2145.0,,994755.0,0.9978,,,token_terminal,
JUP,jupiter-exchange,,24243444.0,,,,,fallback_needed,
LDO,,0.0,524309952.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
LPT,livepeer,,,24587414.0,1.0,,,token_terminal,
META,,0.0,182088.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
MKR,makerdao,339196970.0,,,0.0,280011916.0,,token_terminal,
MOR,,0.0,997116.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
MPL_SYRUP,maple-finance,10570977.0,93351996.0,,0.0,9309078.0,,token_terminal,
OP,optimism,508351.0,,56578046.0,0.9911,,,token_terminal,
POKT,pocket-network,,,,,,,fallback_needed,
POL,polygon,10829727.0,32954592.0,9657767.0,0.4714,,,token_terminal,
RENDER,render-network,,,,,20121497.0,,token_terminal,
RPL,rocket-pool,,37248720.0,,,56298.0,,token_terminal,
TEC,,,,,,,,fallback_needed,No Token Terminal coverage
UNI,uniswap,52663061.0,289395936.0,536653.0,0.0101,1038873281.0,,token_terminal,
W,,0.0,257976.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
WXM,weatherxm,,,,,,,fallback_needed,
ZRO,,0.0,3530172.0,,,,,defillama_fees,No Token Terminal coverage; fees from DeFiLlama
